露營區名稱,所在縣市,土地,用地類別,營業狀態,符合,違反,原住民地區
南投魚池_聖多羅森林素食露營區,南投縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
南投魚池_聖愛營地,南投縣,都市土地,特別保護區,營業中,待清查,待清查,否
南投魚池_翠林農場,南投縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
南投魚池_翠巒山莊,南投縣,非都市土地/山坡地保育區,林業用地,無營業,,,
南投魚池_親手窯茶莊營地,南投縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
南投魚池_靜心露營站,南投縣,待確認,待確認,營業中,待清查,待清查,否
南投魚池_頭社水庫露營區,南投縣,非都市土地/山坡地保育區,暫未編定,營業中,,違反水土保持法,否
南投魚池_頭社後尖山休閒營地,南投縣,非都市土地/鄉村區,遊憩用地,營業中,,違反水土保持法,否
南投魚池_龍之泉休閒露營區,南投縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
南投鹿谷_一陽露營區,南投縣,非都市土地/森林區,農牧用地,營業中,,違反水土保持法,否
南投鹿谷_小半天休閒露營園區,南投縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,否
南投鹿谷_小半天後花園自然生態園區,南投縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
南投鹿谷_小樟園營地,南投縣,都市土地,農業區,營業中,待清查,待清查,否
南投鹿谷_山逸園,南投縣,非都市土地/山坡地保育區,丙種建築用地,無營業,,,否
南投鹿谷_文景農場,南投縣,非都市土地/森林區,農牧用地,營業中,待清查,待清查,否
南投鹿谷_世外陶莊,南投縣,非都市土地/山坡地保育區,國土保安用地,營業中,待清查,待清查,否
南投鹿谷_永恆星空露營區,南投縣,非都市土地/森林區,農牧用地,無營業,,,
南投鹿谷_石盤阬露營區,南投縣,非都市土地/森林區,暫未編定,營業中,待清查,待清查,否
南投鹿谷_老三ㄟ厝露營區,南投縣,非都市土地/山坡地保育區,農牧用地,無營業,,,
南投鹿谷_宏億茶廠,南投縣,待確認,待確認,無營業,,,
南投鹿谷_杉雲農場,南投縣,非都市土地/森林區,農牧用地,無營業,,,
南投鹿谷_和興露營區,南投縣,非都市土地/森林區,林業用地,營業中,待清查,待清查,否
南投鹿谷_明谷山莊,南投縣,非都市土地/山坡地保育區,林業用地,營業中,待清查,待清查,否
南投鹿谷_東湖露營區,南投縣,都市土地,公園用地,營業中,待清查,待清查,否
南投鹿谷_波斯園露營區,南投縣,都市土地,公園用地,營業中,待清查,待清查,否
南投鹿谷_柳畔露營區,南投縣,都市土地,公園用地,無營業,,,
南投鹿谷_皇成農場露營區,南投縣,非都市土地/森林區,農牧用地,營業中,待清查,待清查,否
南投鹿谷_凍頂山露營農場,南投縣,都市土地,示範茶園區,營業中,待清查,待清查,否
南投鹿谷_桂香園露營區,南投縣,都市土地,農業區,營業中,待清查,待清查,否
南投鹿谷_湖畔露營區,南投縣,都市土地,公園用地,無營業,,,
南投鹿谷_溪頭老爺山莊,南投縣,都市土地,農業區,營業中,待清查,待清查,否
南投鹿谷_溪頭露營區,南投縣,都市土地,廣場用地,無營業,,,
南投鹿谷_綠光之愛室內露營區,南投縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,否
南投鹿谷_鳳凰渡假山莊,南投縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
南投鹿谷_鳳凰露營區,南投縣,都市土地,農業區,營業中,待清查,待清查,否
南投鹿谷_錦屏之窗,南投縣,都市土地,農業區,營業中,待清查,待清查,否
南投鹿谷_露?山曉露營區,南投縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
南投集集_十三目仔窯露營區,南投縣,都市土地,道路用地,無營業,,,
南投集集_麥凡諾休閒住宿露營農場,南投縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
南投集集_集水農場,南投縣,非都市土地/山坡地保育區,農牧用地,無營業,,,
森十八休閒農場,南投縣,,,待確認,,,
森十八休閒農場,南投縣,,,營業中,符合休閒農業輔導管理辦法,,
雲峯景觀莊園-中寮鄉清水村瀧林巷３５－１３號,南投縣,,,待確認,具有稅籍登記,,
溪南國小,南投縣,,,營業中,第一、二波公告,,
漢光樓-南投縣鹿谷鄉內湖村森林巷12號,南投縣,,,待確認,具有稅籍登記,,
蟬說雅築有限公司-信義鄉東埔村開高巷３０號,南投縣,,,待確認,具有稅籍登記,,
1.陽光綠堤休閒農場(屏東縣內埔鄉三和路305巷16-1號),屏東縣,,,營業中,合法申請使用國有非公用土地,,
"2.恆春化石工作站- 屏東縣車城鄉後灣路下水堀265-3號",屏東縣,,,營業中,,違反國家公園土地使用管制,
4.廢棄露營區(屏東縣滿州鄉八瑤路附近),屏東縣,,,營業中,,財政部國有財產署提供占用國有非公用土地之露營場,
"6.伊亞渡假民宿(露營車)- 屏東縣恆春鎮樹林路151號",屏東縣,,,營業中,,違反國家公園土地使用管制,
"7.白沙露營區(快樂白沙北側)- 無門牌",屏東縣,,,營業中,,違反國家公園土地使用管制,
"8.藍白潛水渡假中心- 屏東縣恆春鎮南光路11號",屏東縣,,,營業中,,違反國家公園土地使用管制,
士嫻休閒農場,屏東縣,,,營業中,符合休閒農業輔導管理辦法,,
長榮百合國小露營場,屏東縣,,,營業中,第一、二波公告,,
青葉國小露營場,屏東縣,,,營業中,第一、二波公告,,
"屏東三地門_綠野仙蹤露營區 (往營地叉路口)",屏東縣,非都市土地/風景區,農牧用地,營業中,待清查,待清查,是
屏東三地門_德文獵人學校民宿露營區,屏東縣,非都市土地/山坡地保育區,林業用地,營業中,符合，三地門鄉公所委外經營,,是
屏東三地門_龍豪咖啡莊園,屏東縣,非都市土地/山坡地保育區,丙種建築用地,營業中,依露營場管理要點-判別符合土地使用管制之露營場參考流程圖，符合土地管制,,是
屏東三地門_賽嘉營地,屏東縣,非都市土地/山坡地保育區,特定目的事業用地(茂管處),營業中,符合(茂管處委外經營),,是
"屏東牡丹_kikiu 草園綠地露營區",屏東縣,非都市土地/山坡地保育區,特定事業目的用地,營業中,待清查,待清查,是
"屏東牡丹_LB 舞浪園露營區",屏東縣,非都市土地/山坡地保育區,林業用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
"屏東牡丹_MaNa 露營區",屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東牡丹_九大露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
屏東牡丹_大梅親水休閒農莊,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
屏東牡丹_左岸民宿露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
屏東牡丹_旭海路口旅遊休閒站,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東牡丹_君伯園露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
屏東牡丹_佳德谷原住民植物生活教育園區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東牡丹_河畔露營區,屏東縣,未登記土地,待確認,待確認,,,是
屏東牡丹_華園民宿露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東牡丹_華園鄉村民宿露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
屏東牡丹_頭目之家露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
"屏東牡丹_鐵線橋 LUGU 農場",屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東車城_安佳春生態休閒農莊,屏東縣,非都市土地/國家公園區,一般管制區農業用地、林業用地,營業中,,"內政部營建署提供違反合國家公園法設置之露營場
財政部國有財產署提供占用國有非公用土地之露營場",否
屏東車城_保力林場,屏東縣,非都市土地/森林區,農牧用地,營業中,財政部國有財產署提供合法申請使用國有非公用土地,,否
屏東車城_悠客驛境露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,否
屏東來義_嘉後休閒農園,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東枋山_南方驛站小希臘,屏東縣,非都市土地/一般農業區,特定目的事業用地,營業中,,違反區域計畫法/非都市土地使用管制規則,否
屏東枋山_海豚茉莉灣海景露營區,屏東縣,非都市土地/一般農業區,特定目的事業用地,營業中,待清查,待清查,否
屏東枋山_傻瓜天堂海景咖啡,屏東縣,非都市土地/一般農業區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,否
屏東枋寮_僑德國小,屏東縣,,僑德國小,無營業,,,
屏東東港_大鵬灣青洲濱海遊憩區,屏東縣,都市土地,濱海遊憩區(鵬管處),營業中,都市計畫法,,
屏東恆春_大尖山原野露營區,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_大圓山露營區,屏東縣,非都市土地/國家公園區,特別景觀區,營業中,,"內政部營建署提供違反合國家公園法設置之露營場
財政部國有財產署提供占用國有非公用土地之露營場",否
屏東恆春_六福山莊,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_尼莫庭園民宿,屏東縣,非都市土地/國家公園區,一般管制區農業用地,無營業,,,
屏東恆春_巨石咖啡民宿,屏東縣,非都市土地/國家公園區,特別景觀區,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_白砂露營區,屏東縣,非都市土地/國家公園區,特別景觀區,無營業,,,
屏東恆春_石牛溪農場,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,違反國家公園法,否
屏東恆春_君臨農場,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_沙島露營區,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_阿信巧克力農場,屏東縣,非都市土地/國家公園區,農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_青山露營區,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_紅柴水鄉,屏東縣,非都市土地/國家公園區,特別景觀區,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_美貓仔坑休閒露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
屏東恆春_面海露營區,屏東縣,非都市土地/國家公園區,特別景觀區,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_原始林露營區,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,違反國家公園法,否
屏東恆春_根源農場民宿,屏東縣,非都市土地/一般農業區,農牧用地,營業中,符合休閒農業輔導管理辦法,,否
屏東恆春_海山露營區,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
"屏東恆春_海潮潛水民宿露營區
(原名：鯊客潛水民宿露營區)",屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_清涼露營區,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,否
屏東恆春_最南點露營區,屏東縣,非都市土地/國家公園區,遊憩區露營用地,營業中,符合(墾管處委外經營),,否
屏東恆春_關山農場,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,待清查,待清查,否
屏東春日_士文自然農場,屏東縣,非都市土地/山坡地保育區,林業用地,營業中,,違反森林法或休閒農業輔導管理辦法,是
屏東春日_大漢山休閒農場,屏東縣,非都市土地/山坡地保育區,林業用地,營業中,,違反森林法或休閒農業輔導管理辦法,是
屏東泰武_大武山農場民宿,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反森林法或休閒農業輔導管理辦法,是
屏東泰武_哈雷有機咖啡農園,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東泰武_桐花戀露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東琉球_沙瑪基渡假區,屏東縣,都市土地,海景休閒渡假區(鵬管處),營業中,都市計畫法,,否
屏東高樹_大山露營農場,屏東縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,否
屏東高樹_大路觀主題樂園,屏東縣,非都市土地/特定專用區,遊憩用地,營業中,依露營場管理要點-判別符合土地使用管制之露營場參考流程圖，符合土地管制,,否
屏東高樹_松秀雅筑,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,否
屏東高樹_綠野遊蹤民宿露營區,屏東縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,否
屏東新埤_近心永續生活農園,屏東縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,待查
屏東新埤_獅頭庄水農場,屏東縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,待查
"屏東獅子_粑鳩璐農場 (伊屯部落牌樓)",屏東縣,非都市土地/山坡地保育區,丙種建築用地,營業中,依露營場管理要點-判別符合土地使用管制之露營場參考流程圖，符合土地管制,,是
屏東萬巒_山腳喫茶,屏東縣,非都市土地/特定農業區,農牧用地,營業中,待清查,待清查,否
屏東萬巒_和華園露營趣,屏東縣,非都市土地/一般農業區,農牧用地,營業中,符合，依休閒農業輔導管理辦法申請露營設施容許在案,,否
屏東萬巒_夢露露營空間,屏東縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,否
屏東萬巒_穎達農場,屏東縣,非都市土地/一般農業區,,營業中,符合，目前正依休閒農業輔導管理辦法辦理經營計畫書變更新增露營設施,,否
屏東萬巒_穎達農場,屏東縣,非都市土地/一般農業區,農牧用地,營業中,,違反森林法或休閒農業輔導管理辦法,否
屏東萬巒_諾亞方舟生態園區,屏東縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,否
屏東萬巒_櫻花渡假村,屏東縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,否
"屏東滿州_WaDa 野居露營區",屏東縣,非都市土地/國家公園區,生態保護區,營業中,,內政部營建署提供違反合國家公園法設置之露營場,是
屏東滿州_一場夢農場露營區,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,是
屏東滿州_小森園,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,是
屏東滿州_偷晴露營區,屏東縣,非都市土地/山坡地保育區,林業用地,營業中,待清查,待清查,是
"屏東滿州_鄉夏 Life 背包露營區",屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東滿州_碧連天農場,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
屏東滿州_蒙馬羅露營農莊,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,是
屏東滿州_欖仁河堤休閒農莊,屏東縣,非都市土地/國家公園區,一般管制區農業用地,營業中,,內政部營建署提供違反合國家公園法設置之露營場,是
屏東瑪家_丁爸花媽露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東瑪家_卡拉達然露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東瑪家_石板屋露營區,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,符合休閒農業輔導管理辦法,,是
屏東瑪家_桃花園,屏東縣,非都市土地/山坡地保育區,林業用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
屏東瑪家_涼山露營區,屏東縣,非都市土地/山坡地保育區,特定目的事業用地,營業中,符合(茂管處委外經營),,是
屏東瑪家_獵人驛站,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
"屏東潮州_8 大森林樂園",屏東縣,非都市土地/一般農業區,農牧用地,營業中,待清查,待清查,否
屏東潮州_明心佛堂,屏東縣,非都市土地/一般農業區,遊憩用地,營業中,依露營場管理要點-判別符合土地使用管制之露營場參考流程圖，符合土地管制,,否
屏東霧台_神山山莊,屏東縣,非都市土地/山坡地保育區,林業用地,營業中,待清查,待清查,是
屏東霧台_神山冒煙屋,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,,違反區域計畫法/非都市土地使用管制規則,是
屏東霧台_霧台山莊,屏東縣,非都市土地/山坡地保育區,農牧用地,營業中,待清查,待清查,是
屏東麟洛_柚園生態農場,屏東縣,非都市土地/一般農業區,農牧用地,營業中,,違反森林法或休閒農業輔導管理辦法,否
泰武國小佳興分校露營場,屏東縣,,,營業中,第一、二波公告,,
新豐國小露營場,屏東縣,,,營業中,第一、二波公告,,
優生美地休閒農場,屏東縣,,,營業中,符合休閒農業輔導管理辦法,,
賽嘉國小露營場,屏東縣,,,營業中,第一、二波公告,,
1.水漾森林露營場(苗栗縣三灣鄉北埔村),苗栗縣,,,營業中,,財政部國有財產署提供占用國有非公用土地之露營場,
力新小築-苗栗縣南庄鄉南江村東江００號,苗栗縣,,,待確認,具有稅籍登記,,
"山水居 - 苗栗縣大湖鄉栗林村內雙坑－號",苗栗縣,,,待確認,具有稅籍登記,,
山田休閒農場-苗栗縣南庄鄉田美村田美６６－１號,苗栗縣,,,待確認,具有稅籍登記,,
"五鄰休閒露營區 - 苗栗縣泰安鄉大興村高熊段０－００００、０－００００地號",苗栗縣,,,待確認,具有稅籍登記,,
"太湖民宿 - 苗栗縣大湖鄉大寮村草崠號",苗栗縣,,,待確認,具有稅籍登記,,
"比浩民宿 - 苗栗縣泰安鄉士林村馬那邦―號",苗栗縣,,,待確認,具有稅籍登記,,
四方牧場休憩小站-苗栗縣竹南鎮崎頂里鄰東崎頂－號,苗栗縣,,,待確認,具有稅籍登記,,
"永興民宿 - 苗栗縣通霄鎮福興里地號－﹒－﹒－﹒－",苗栗縣,,,待確認,具有稅籍登記,,
玉荷園-苗栗縣南庄鄉東村中正路２４２號,苗栗縣,,,待確認,具有稅籍登記,,
"如意園民宿 - 苗栗縣通霄鎮福興里福興－號",苗栗縣,,,待確認,具有稅籍登記,,
"宇庭客棧 - 苗栗縣通霄鎮南和里南和―號",苗栗縣,,,待確認,具有稅籍登記,,
宇淳戶外樂活有限公司三灣營業所-苗栗縣三灣鄉北埔村２７號,苗栗縣,,,待確認,具有稅籍登記,,
"江女兒情休閒農莊 - 苗栗縣泰安鄉士林村蘇魯―號",苗栗縣,,,待確認,具有稅籍登記,,
"竹林仙境 - 苗栗縣苗栗市新英里新英９５號１樓",苗栗縣,,,待確認,具有稅籍登記,,
自家烘焙咖啡休閒農場,苗栗縣,,,營業中,符合休閒農業輔導管理辦法,,
邦堡實業股份有限公司-苗栗縣三灣鄉頂寮村竹湖８－６號,苗栗縣,,,待確認,具有稅籍登記,,
里京舘-苗栗縣南庄鄉南江村里金舘號,苗栗縣,,,待確認,具有稅籍登記,,
"奇珊谷露營區 - 苗栗縣公館鄉北河村北河段７７、７９、５０８地號",苗栗縣,,,待確認,具有稅籍登記,,
"東里家風民宿 - 苗栗縣苑裡鎮苑坑里號",苗栗縣,,,待確認,具有稅籍登記,,
松濤田園咖啡館-苗栗縣南庄鄉田美村四灣９０之１號,苗栗縣,,,待確認,具有稅籍登記,,
"欣園民宿 - 苗栗縣通霄鎮內島里內島１６－７號",苗栗縣,,,待確認,具有稅籍登記,,
"武嵐露營區 - 苗栗縣泰安鄉錦水村橫龍山段００－００００、０－００００地號",苗栗縣,,,待確認,具有稅籍登記,,
"知禧露營商行 - 苗栗縣大湖鄉武榮村坑美寮－０號",苗栗縣,,,待確認,具有稅籍登記,,
"城香休閒農場 - 苗栗縣通霄鎮城北里―號",苗栗縣,,,待確認,具有稅籍登記,,
"洗水山露營區 - 苗栗縣泰安鄉清安村洗水坑號 - 苗栗縣泰安鄉清安村清安段０００－００００、０００－００００地號",苗栗縣,,,待確認,具有稅籍登記,,
眉山居-苗栗縣南庄鄉田美村１０６號,苗栗縣,,,待確認,具有稅籍登記,,
苗栗三義_山板樵休閒農場,苗栗縣,非都市土地,農牧用地,營業中,,違反森林法或休閒農業輔導管理辦法,否
苗栗三義_不遠露營度假山莊,苗栗縣,非都市土地,林業用地,營業中,待清查,待清查,否
苗栗三義_五福山莊,苗栗縣,非都市土地,國土保安用地,營業中,,違反森林法或休閒農業輔導管理辦法,否
苗栗三義_火車過山洞露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_半月彎露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_石濤園山莊,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_石濤園山莊,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_西湖渡假村,苗栗縣,非都市土地,遊憩用地,營業中,待清查,待清查,否
苗栗三義_貝岩居農場,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_依杉林露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_春田窯陶藝休閒渡假園,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_彩園親子露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_魚藤坪露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_雲想家露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_遇見李白露營區,苗栗縣,待確認,待確認,營業中,待清查,待清查,否
苗栗三義_諾維琪露營基地,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_錦繡山河露營區,苗栗縣,非都市土地,林業用地,營業中,待清查,待清查,否
苗栗三義_龍騰山莊,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_關刀山景庭露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_鐵道驛站,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三義_峯州小木屋民宿,苗栗縣,非都市土地,國土保安用地,營業中,,森林法,否
苗栗三灣_小份美營地,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三灣_侑橘休閒農園,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗三灣_神農渡假農場,苗栗縣,非都市土地,丙種建築用地,營業中,待清查,待清查,否
苗栗三灣_逗點露營區,苗栗縣,非都市土地,林業用地,營業中,待清查,待清查,否
苗栗三灣_棕櫚灣,苗栗縣,非都市土地,林業用地,營業中,待清查,待清查,否
苗栗三灣_棠春休閒莊園,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
"苗栗大湖_Look 露客露營區",苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_MaLa！棒露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
"苗栗大湖_Mele Hula 音樂之舞藝術露營區",苗栗縣,非都市土地,"農牧用地
交通用地",營業中,待清查,待清查,否
苗栗大湖_大南之美露營區,苗栗縣,非都市土地,"農牧用地
丙種建築用地",營業中,待清查,待清查,否
苗栗大湖_天恩農莊畫家咖啡屋,苗栗縣,非都市土地,"農牧用地
林業用地
丙種建築用地",營業中,待清查,待清查,否
苗栗大湖_天然湖露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_天藍露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_四季非露不可景觀休閒露營區,苗栗縣,非都市土地,"農牧用地
丙種建築用地",營業中,待清查,待清查,否
苗栗大湖_石雲宮,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_老官道農場,苗栗縣,非都市土地,"農牧用地
丙種建築用地",營業中,,違反森林法或休閒農業輔導管理辦法,否
苗栗大湖_岸之溪休閒會館,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_香林露營區,苗栗縣,非都市土地,"農牧用地
林業用地
交通用地",營業中,待清查,待清查,否
苗栗大湖_琉璃秋境,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_馬那邦萍園露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_馬拉邦渡假山莊,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_彩雲露螢谷露營區,苗栗縣,非都市土地,"農牧用地
林業用地",營業中,待清查,待清查,否
苗栗大湖_悠活憶境露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_細邦道露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_嵐湖農場,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_嵐湖農場,苗栗縣,非都市土地,農牧用地,營業中,,違反森林法或休閒農業輔導管理辦法,否
苗栗大湖_湖光山色露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_筑林居露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_菊園客家庄民宿露營區,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_雲也居一農場,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
苗栗大湖_微笑山丘,苗栗縣,非都市土地,"農牧用地
林業用地",營業中,待清查,待清查,否
苗栗大湖_溪畔露營區,苗栗縣,非都市土地,"農牧用地
林業用地",營業中,待清查,待清查,否
苗栗大湖_祺立農場大獅露營區,苗栗縣,非都市土地,"農牧用地
林業用地",營業中,待清查,待清查,否
苗栗大湖_夢之谷露營區,苗栗縣,待確認,待確認,營業中,待清查,待清查,否
苗栗大湖_福人居民宿,苗栗縣,非都市土地,農牧用地,營業中,待清查,待清查,否
